word1,word2,sim
лошадь,жеребец,1
лошадь,конь,1
лошадь,кобыла,1
лошадь,пони,1
лошадь,лошаденка,1
лошадь,скакун,1
лошадь,кляча,1
лошадь,седло,0
лошадь,конюх,0
лошадь,конюшня,0
лошадь,грива,0
лошадь,галоп,0
лошадь,табун,0
лошадь,телега,0
сержант,лейтенант,1
сержант,полицейский,1
сержант,звание,0
сержант,полиция,0
крейсер,корабль,1
крейсер,фрегат,1
крейсер,флагман,1
крейсер,море,0
крейсер,водоизмещение,0
крейсер,экипаж,0
винтовка,пулемет,1
винтовка,травматика,1
винтовка,оружие,1
винтовка,приклад,0
винтовка,стрелок,0
винтовка,выстрел,0
ноутбук,планшет,1
ноутбук,компьютер,1
ноутбук,интернет,0
ноутбук,подставка,0
программирование,информатика,1
программирование,кодирование,1
программирование,язык,0
программирование,алгоритм,0
программист,разработчик,1
программист,хакер,1
программист,программа,0
программист,программирование,0
озу,память,1
озу,чип,1
озу,гигабайт,0
озу,программа,0
информация,данные,1
информация,контент,1
информация,передача,0
информация,носитель,0
робот,киборг,1
робот,наноробот,1
робот,интеллект,0
робот,помощь,0
омар,анчоус,1
омар,закуска,1
омар,мидия,1
омар,ресторан,0
омар,клешня,0
омар,море,0
король,власть,0
король,королевство,0
король,королева,1
король,царь,1
король,корона,0
король,престол,0
король,монарх,1
король,шут,1
маг,чернокнижник,1
маг,шарлатан,1
маг,заклинание,0
маг,амулет,0
век,эпоха,1
век,столетие,1
век,история,0
век,просвещение,0
поездка,виза,0
поездка,гостиница,0
поездка,командировка,1
поездка,прогулка,1
поездка,маршрут,0
поездка,поезд,0
поездка,поход,1
поездка,круиз,1
новость,журналист,0
новость,агенство,0
новость,сообщение,1
новость,публикация,1
футбол,лига,0
футбол,поле,0
футбол,болельщик,0
футбол,уефа,0
футбол,хоккей,1
футбол,волейбол,1
футбол,бейсбол,1
футбол,гандбол,1
девчонка,подруга,1
девчонка,платье,0
девчонка,знакомство,0
девчонка,сестра,1
девчонка,одноклассник,1
девчонка,азиатка,1
девчонка,возраст,0
девчонка,прическа,0
кгб,спецслужба,1
кгб,цру,1
кгб,агент,0
кгб,разведка,0
игра,команда,0
игра,матч,1
игра,покер,1
игра,соперник,0
игра,развлечение,1
игра,правило,0
доктор,диагноз,0
доктор,здоровье,0
доктор,врач,1
доктор,профессор,1
доктор,степень,0
доктор,клиника,0
доктор,хирург,1
доктор,пациент,1
наводнение,землетрясение,1
наводнение,вода,0
наводнение,жертва,0
наводнение,катастрофа,1
край,область,1
край,центр,1
край,население,0
край,земля,0
самолет,посадка,0
самолет,авиация,0
самолет,летчик,0
самолет,бомба,0
самолет,кабина,0
самолет,фюзеляж,0
самолет,эскадрилья,0
самолет,аэроплан,1
самолет,вертолет,1
самолет,истребитель,1
самолет,планер,1
самолет,гидросамолет,1
самолет,авиалайнер,1
самолет,мессершмитт,1
деньги,сумма,1
деньги,банк,0
деньги,рубль,1
деньги,счет,0
деньги,цена,0
деньги,зарплата,1
деньги,долг,0
деньги,кредит,0
деньги,чаевые,1
деньги,монета,1
процветание,преуспевание,1
процветание,благополучие,1
процветание,народ,0
процветание,коррупция,0
крупа,пшено,1
крупа,зерно,1
крупа,хлопья,1
крупа,кастрюля,0
крупа,мешок,0
крупа,килограмм,0
скрип,свист,1
скрип,храп,1
скрип,звук,1
скрип,дверь,0
скрип,сосна,0
скрип,качели,0
язык,диалект,1
язык,изучение,0
линия,прямая,1
линия,полоса,1
линия,маршрут,1
линия,фронт,0
линия,километр,0
линия,движение,0
вихрь,водоворот,1
вихрь,торнадо,1
вихрь,пыль,0
вихрь,атмосфера,0
барометр,манометр,1
барометр,компас,1
барометр,прибор,1
барометр,давление,0
барометр,погода,0
барометр,измерение,0
иероглиф,знак,1
иероглиф,символ,1
иероглиф,буква,1
иероглиф,китаец,0
иероглиф,письменность,0
иероглиф,египет,0
сыщик,детектив,1
сыщик,оперативник,1
сыщик,следователь,1
сыщик,преступление,0
сыщик,улика,0
сыщик,расследование,0
копия,дубликат,1
копия,оригинал,1
копия,репродукция,1
копия,файл,0
копия,паспорт,0
копия,ксерокс,0
синица,воробей,1
синица,птица,1
синица,синичка,1
синица,петух,1
синица,рука,0
синица,стая,0
синица,ветка,0
синица,кормушка,0
люстра,лампа,1
люстра,торшер,1
люстра,потолок,0
люстра,свет,0
событие,происшествие,1
событие,исчезновение,1
событие,инцидент,1
событие,участник,0
событие,место,0
событие,дата,0
пчела,мед,0
пчела,улей,0
пчела,пасека,0
пчела,пчеловодство,0
пчела,оса,1
пчела,трутень,1
пчела,насекомое,1
пчела,пчелка,1
шерсть,животное,0
шерсть,аллергия,0
шерсть,мех,1
шерсть,хлопок,1
море,берег,0
море,прибой,0
море,морепродукт,0
море,океан,1
море,водоем,1
море,река,1
паук,тарантул,1
паук,насекомое,1
паук,паутина,0
паук,арахнофобия,0
птица,гнездо,0
птица,клюв,0
птица,яйцо,0
птица,крыло,0
птица,ворона,1
птица,животное,1
птица,птаха,1
птица,птенец,1
полка,стол,1
полка,шкаф,1
полка,книга,0
полка,стена,0
молоток,киянка,1
молоток,кувалда,1
молоток,молот,1
молоток,гвоздь,0
молоток,стук,0
молоток,палец,0
эволюция,деградация,1
эволюция,развитие,1
эволюция,инволюция,1
эволюция,теория,0
эволюция,человечество,0
эволюция,ген,0
космос,вселенная,1
космос,мироздание,1
космос,орбита,0
космос,космонавт,0
космодром,аэродром,1
космодром,звездолет,0
проем,отверстие,1
проем,дыра,1
проем,прорезь,1
проем,дверь,0
проем,ширина,0
проем,стена,0
сияние,свечение,1
сияние,мерцание,1
сияние,всполох,1
сияние,солнце,0
сияние,атмосфера,0
сияние,бриллиант,0
авария,дтп,1
авария,катастрофа,1
авария,сбой,1
авария,происшествие,1
авария,жертва,0
авария,причина,0
авария,водитель,0
авария,место,0
гаджет,планшетник,1
гаджет,устройство,1
гаджет,фотоаппарат,1
гаджет,фитнес-трекер,1
гаджет,пользователь,0
гаджет,цена,0
гаджет,гик,0
гаджет,продажа,0
особенность,отличие,1
особенность,черта,1
особенность,признак,1
особенность,аспект,1
особенность,поведение,0
особенность,строение,0
особенность,организм,0
особенность,учет,0
реферат,конспект,1
реферат,выписка,1
реферат,выжимка,1
реферат,автореферат,1
реферат,тема,0
реферат,страница,0
реферат,лекция,0
реферат,философия,0
налог,ндс,1
налог,пошлина,1
налог,алименты,1
налог,дань,1
налог,акциз,1
налог,сумма,0
налог,уплата,0
налог,имущество,0
налог,налогоплательщик,0
налог,декларация,0
конституция,закон,1
конституция,фз,1
конституция,устав,1
конституция,указ,1
конституция,референдум,0
конституция,государство,0
конституция,поправка,0
конституция,соблюдение,0
кулинария,диетология,1
кулинария,кухня,1
кулинария,хозяйка,0
кулинария,блюдо,0
силуэт,образ,1
силуэт,облик,1
силуэт,фон,0
силуэт,туман,0
береза,дерево,1
береза,осина,1
береза,куст,1
береза,лист,0
береза,сережка,0
береза,береста,0
торф,топливо,1
торф,удобрение,1
торф,уголь,1
торф,антрацит,1
торф,болото,0
торф,вагон,0
торф,добыча,0
торф,мох,0
лицо,морда,1
лицо,физиономия,1
лицо,персона,1
лицо,маска,0
лицо,улыбка,0
лицо,выражение,0
точка,запятая,1
точка,знак,1
точка,строка,0
точка,продажа,0
планетарий,музей,1
планетарий,зоопарк,1
планетарий,телескоп,0
планетарий,планета,0
штора,занавеска,1
штора,окно,0
школьник,ученик,1
школьник,первоклассник,1
школьник,парта,0
школьник,перемена,0
кофе,эспрессо,1
кофе,напиток,1
кофе,чай,1
кофе,чашка,0
кофе,кофемашина,0
кофе,глоток,0
топливо,бензин,1
топливо,горючее,1
топливо,заправка,0
топливо,бак,0
лопата,грабли,1
лопата,вилы,1
лопата,черенок,0
лопата,земля,0
бутылка,сосуд,1
бутылка,емкость,1
бутылка,пузырек,1
бутылка,вино,0
бутылка,штопор,0
бутылка,алкоголик,0
сумочка,сумка,1
сумочка,футляр,1
сумочка,цвет,0
сумочка,плечо,0
предупреждение,цунами,0
предупреждение,объявление,1
предупреждение,угроза,1
предупреждение,последствие,0
цена,стоимость,1
цена,товар,0
оценка,отметка,1
оценка,дневник,0
фигура,треугольник,1
фигура,круг,1
фигура,пилотаж,0
фигура,речь,0
знамя,флаг,1
знамя,дивизия,0
дивизион,лига,1
дивизион,хоккей,0
хлопоты,суета,1
хлопоты,дело,1
хлопоты,забота,1
хлопоты,дом,0
хлопоты,хозяйство,0
хлопоты,кухня,0
патология,дисфункция,1
патология,заболевание,1
патология,тромбоз,1
патология,гипертензия,1
патология,вирус,0
патология,больной,0
патология,диагностика,0
патология,сердце,0
журнал,издание,1
журнал,газета,1
журнал,еженедельник,1
журнал,страница,0
журнал,заметка,0
журнал,обложка,0
ученый,математик,1
ученый,корифей,1
ученый,знаток,1
ученый,институт,0
ученый,грант,0
ученый,открытие,0
ребенок,вундеркинд,1
ребенок,малыш,1
ребенок,школьник,1
ребенок,тинейджер,1
ребенок,школа,0
ребенок,подгузник,0
ребенок,игрушка,0
ребенок,воспитание,0
семя,семечко,1
семя,зернышко,1
семя,рассада,0
семя,растение,0
рост,увеличение,1
рост,укрупнение,1
рост,сантиметр,0
рост,человек,0
дверь,ворота,1
дверь,калитка,1
дверь,окно,1
дверь,порог,0
дверь,стук,0
дверь,звонок,0
специя,пряность,1
специя,перец,1
специя,вкус,0
специя,блюдо,0
морепродукт,продукт,1
морепродукт,омар,1
морепродукт,добыча,0
морепродукт,салат,0
сено,солома,1
сено,трава,1
сено,корова,0
сено,стог,0
патруль,дозор,1
патруль,преследование,0
кабина,помещение,1
кабина,самолет,0
гитара,инструмент,1
гитара,барабан,1
гитара,музыка,0
гитара,звучание,0
погружение,спуск,1
погружение,батискаф,0
ребро,кость,1
ребро,перелом,0
юноша,подросток,1
юноша,девушка,1
юноша,юность,0
юноша,армия,0
сжатие,сдавливание,1
сжатие,растягивание,1
сжатие,газ,0
сжатие,пружина,0
уборка,чистка,1
уборка,стирка,1
уборка,пылесос,0
уборка,комната,0
таблетка,пилюля,1
таблетка,порошок,1
таблетка,лекарство,1
таблетка,доктор,0
таблетка,вирус,0
таблетка,температура,0
сачок,невод,1
сачок,бабочка,0
сертификат,удостоверение,1
сертификат,участник,0
талант,дар,1
талант,умение,1
талант,восхищение,0
талант,успех,0
динозавр,рептилия,1
динозавр,тиранозавр,1
динозавр,динозаврик,1
динозавр,ящер,1
динозавр,вымирание,0
динозавр,скелет,0
динозавр,палеонтолог,0
динозавр,останки,0
воображение,фантазия,1
воображение,плод,0
танец,самба,1
танец,пляска,1
танец,вальс,1
танец,фламенко,1
танец,танцовщица,0
танец,сцена,0
танец,карнавал,0
танец,па,0
шар,шарик,1
шар,куб,1
шар,аэростат,1
шар,цилиндр,1
шар,луза,0
шар,воздух,0
шар,диаметр,0
шар,полет,0
штанга,гиря,1
штанга,гантель,1
штанга,тренажер,1
штанга,вес,0
штанга,жим,0
штанга,удар,0
сон,дремота,1
сон,дрема,1
сон,бодрствование,1
сон,сновидение,1
сон,ночь,0
сон,подушка,0
сон,сонник,0
сон,снотворное,0
сомбреро,шляпа,1
сомбреро,фуражка,1
сомбреро,панама,1
сомбреро,мексиканец,0
сомбреро,текила,0
сомбреро,гитара,0
бубенчик,колокольчик,1
бубенчик,гонг,1
бубенчик,звон,0
бубенчик,тройка,0
атлет,спортсмен,1
атлет,тяжелоатлет,1
атлет,штангист,1
атлет,лыжник,1
атлет,атлетика,0
атлет,тренировка,0
атлет,мускул,0
атлет,медаль,0
имя,название,1
имя,прозвище,1
имя,псевдоним,1
имя,крещение,0
имя,автор,0
имя,происхождение,0
писатель,драматург,1
писатель,поэт,1
писатель,поэтесса,1
писатель,творчество,0
писатель,роман,0
писатель,союз,0
археолог,египтолог,1
археолог,культуролог,1
археолог,историк,1
археолог,ученый,1
археолог,археология,0
археолог,раскопки,0
археолог,находка,0
археолог,памятник,0
повар,кулинар,1
повар,кок,1
повар,кондитер,1
повар,кухарка,1
повар,блюдо,0
повар,кухня,0
повар,обед,0
повар,рецепт,0
концепция,трактовка,1
концепция,доктрина,1
концепция,воззрение,1
концепция,наука,0
концепция,разработка,0
концепция,развитие,0
питон,удав,1
питон,анаконда,1
питон,змея,1
питон,паскаль,1
питон,кожа,0
питон,расцветка,0
питон,террариум,0
питон,программа,0
ягуар,леопард,1
ягуар,фольксваген,1
ягуар,скорость,0
ягуар,саванна,0
физика,химия,1
физика,биология,1
физика,астрофизика,1
физика,термодинамика,1
физика,учитель,0
физика,экзамен,0
физика,закон,0
физика,частица,0
яблоко,плод,1
яблоко,груша,1
яблоко,лимон,1
яблоко,яблоня,0
яблоко,раздор,0
яблоко,сад,0
краска,чернила,1
краска,эмаль,1
краска,грунтовка,1
краска,кисточка,0
краска,палитра,0
краска,волос,0
изгородь,забор,1
изгородь,ограда,1
изгородь,бордюр,1
изгородь,лужайка,0
изгородь,калитка,0
изгородь,кол,0
спелеолог,альпинист,1
спелеолог,пещера,0
садовод,садовник,1
садовод,огородник,1
садовод,сад,0
садовод,саженцы,0
мошенник,шулер,1
мошенник,аферист,1
мошенник,обманщик,1
мошенник,жертва,0
мошенник,деньги,0
мошенник,уловка,0
ложка,вилка,1
ложка,ложечка,1
ложка,суп,0
ложка,деготь,0
дорога,тропа,1
дорога,трасса,1
дорога,машина,0
дорога,поворот,0
сомнение,опасение,1
сомнение,беспокойство,1
сомнение,скептицизм,1
сомнение,повод,0
сомнение,ученый,0
сомнение,женщина,0
россиянин,немец,1
россиянин,соотечественник,1
россиянин,россия,0
россиянин,опрос,0
фрагмент,кусок,1
фрагмент,отрывок,1
фрагмент,книга,0
фрагмент,днк,0
серп,коса,1
серп,нож,1
серп,газонокосилка,1
серп,колос,0
серп,жатва,0
серп,колхозница,0
трюк,финт,1
трюк,фокус,1
трюк,приемчик,1
трюк,иллюзионист,0
трюк,каскадер,0
трюк,цирк,0
задача,проблема,1
задача,задание,1
задача,ребус,1
задача,метод,0
задача,решение,0
задача,математика,0
экзамен,зачет,1
экзамен,испытание,1
экзамен,аттестация,1
экзамен,егэ,1
экзамен,сдача,0
экзамен,студент,0
экзамен,семестр,0
экзамен,школа,0
стрижка,прическа,1
стрижка,ирокез,1
стрижка,каре,1
стрижка,завивка,1
стрижка,ножницы,0
стрижка,салон,0
стрижка,парикмахер,0
стрижка,парикмахерская,0
снаряжение,экипировка,1
снаряжение,обмундирование,1
снаряжение,амуниция,1
снаряжение,палатка,1
снаряжение,поход,0
снаряжение,турист,0
снаряжение,экспедиция,0
снаряжение,дайвинг,0
приборостроение,машиностроение,1
приборостроение,станкостроение,1
приборостроение,металлургия,1
приборостроение,прибор,0
приборостроение,факультет,0
приборостроение,инженер,0
металлург,литейщик,1
металлург,сталевар,1
металлург,домна,0
металлург,сталь,0
епископ,сан,1
епископ,митрополит,1
епископ,монах,1
епископ,епархия,0
епископ,синод,0
епископ,молитва,0
коммунист,марксист,1
коммунист,большевик,1
коммунист,социалист,1
коммунист,демократ,1
коммунист,партия,0
коммунист,выборы,0
коммунист,революция,0
коммунист,митинг,0
пограничник,таможенник,1
пограничник,военный,1
пограничник,военнослужащий,1
пограничник,контрабандист,1
пограничник,граница,0
пограничник,застава,0
пограничник,погранотряд,0
пограничник,наркотик,0
водитель,дальнобойщик,1
водитель,шофер,1
водитель,таксист,1
водитель,автомобиль,0
водитель,штраф,0
водитель,кресло,0
массаж,процедура,1
массаж,растирание,1
массаж,физиотерапия,1
массаж,гидромассаж,1
массаж,массажер,0
массаж,массажист,0
массаж,масло,0
массаж,сеанс,0
кактус,растение,1
кактус,суккулент,1
кактус,агава,1
кактус,колючка,0
кактус,горшок,0
кактус,мексика,0
бревно,жердь,1
бревно,брус,1
бревно,бревнышко,1
бревно,сруб,0
бревно,строительство,0
бревно,топор,0
поле,целина,1
поле,луг,1
поле,плантация,1
поле,трактор,0
поле,мяч,0
поле,бой,0
мишень,цель,1
мишень,промах,0
болтовня,разглагольствование,1
болтовня,разговор,1
болтовня,друг,0
болтовня,встреча,0
аэрозоль,суспензия,1
аэрозоль,ингаляция,0
веревка,шнур,1
веревка,трос,1
веревка,канат,1
веревка,узел,0
веревка,прищепка,0
веревка,конец,0
соринка,пылинка,1
соринка,глаз,0
соревнование,чемпионат,1
соревнование,состязание,1
соревнование,первенство,1
соревнование,поединок,1
соревнование,спортсмен,0
соревнование,участие,0
соревнование,победитель,0
соревнование,кубок,0
дворец,резиденция,1
дворец,усадьба,1
дворец,хоромы,1
дворец,дом,1
дворец,столица,0
дворец,придворный,0
дворец,царь,0
дворец,спорт,0
синус,косинус,1
синус,тригонометрия,0
оптимизм,жизнелюбие,1
оптимизм,пессимизм,1
оптимизм,будущее,0
оптимизм,оптимист,0
вода,жидкость,1
вода,водичка,1
вода,минералка,1
вода,водоем,0
вода,волна,0
вода,литр,0
огонь,пламя,1
огонь,стрельба,1
огонь,камин,0
огонь,орудие,0
щебетание,чириканье,1
щебетание,гомон,1
щебетание,уханье,1
щебетание,птица,0
щебетание,весна,0
щебетание,синица,0
опоздание,задержка,1
опоздание,заминка,1
опоздание,минута,0
опоздание,поезд,0
пассажир,безбилетник,1
пассажир,водитель,1
пассажир,попутчик,1
пассажир,поезд,0
пассажир,багаж,0
пассажир,билет,0
осмотр,обследование,1
осмотр,досмотр,1
осмотр,инспектирование,1
осмотр,профосмотр,1
осмотр,багаж,0
осмотр,врач,0
осмотр,достопримечательность,0
осмотр,протокол,0
тост,речь,1
тост,гренка,1
тост,тостер,0
тост,бокал,0
ботинок,башмак,1
ботинок,тапка,1
ботинок,обувь,1
ботинок,подошва,0
ботинок,нога,0
ботинок,след,0
фильм,кинолента,1
фильм,сериал,1
фильм,боевик,1
фильм,мультик,1
фильм,блокбастер,1
фильм,режиссер,0
фильм,роль,0
фильм,просмотр,0
фильм,съемка,0
фильм,сюжет,0
таксономия,типология,1
таксономия,классификация,1
таксономия,растение,0
таксономия,биология,0
олигарх,богач,1
олигарх,толстосум,1
олигарх,миллионер,1
олигарх,капиталист,1
олигарх,деньги,0
олигарх,вилла,0
олигарх,элита,0
олигарх,яхта,0
выступление,концерт,1
выступление,манифестация,1
выступление,артист,0
выступление,команда,0
стабильность,постоянство,1
стабильность,устойчивость,1
стабильность,экономика,0
стабильность,поддержание,0
сорняк,растение,1
сорняк,полынь,1
сорняк,грядка,0
сорняк,прополка,0
удочка,снасть,1
удочка,спиннинг,1
удочка,рыбалка,0
удочка,рыба,0
будильник,часы,1
будильник,утро,0
смех,хохот,1
смех,хихиканье,1
смех,шутка,0
смех,комедия,0
подарок,презент,1
подарок,гостинец,1
подарок,сувенир,1
подарок,праздник,0
подарок,вручение,0
подарок,юбилей,0
тарелка,блюдо,1
тарелка,миска,1
тарелка,посуда,1
тарелка,каша,0
тарелка,пришелец,0
тарелка,обед,0
шахтер,забойщик,1
шахтер,горняк,1
шахтер,шахта,0
шахтер,уголь,0
гриб,шампиньон,1
гриб,сыроежка,1
гриб,корзина,0
гриб,шляпка,0
пейзаж,натюрморт,1
пейзаж,панорама,1
пейзаж,картина,1
пейзаж,художник,0
пейзаж,озеро,0
пейзаж,окно,0
диод,транзистор,1
диод,светодиод,1
диод,ток,0
диод,катод,0
гора,холм,1
гора,утес,1
гора,снег,0
гора,альпинист,0
винт,пропеллер,1
винт,шуруп,1
винт,винчестер,1
винт,лопасть,0
винт,вращение,0
винт,резьба,0
покер,преферанс,1
покер,шулер,0
шахматы,шашки,1
шахматы,гроссмейстер,0
мореплаватель,мореход,1
мореплаватель,воздухоплаватель,1
мореплаватель,море,0
мореплаватель,экспедиция,0
клад,сокровище,1
клад,кладоискатель,0
университет,институт,1
университет,универ,1
университет,колледж,1
университет,консерватория,1
университет,студент,0
университет,образование,0
университет,ректор,0
университет,лекция,0
забияка,задира,1
забияка,драка,0
мышонок,грызун,1
мышонок,зверек,1
мышонок,писк,0
мышонок,мышеловка,0
порыв,устремление,1
порыв,ветер,0
атолл,остров,1
атолл,коралл,0
саммит,встреча,1
саммит,симпозиум,1
саммит,совещание,1
саммит,лидер,0
саммит,делегация,0
саммит,протокол,0
астероид,комета,1
астероид,спутник,1
астероид,планета,1
астероид,пояс,0
астероид,космос,0
астероид,угроза,0
прогноз,предсказание,1
прогноз,прикидка,1
прогноз,погода,0
прогноз,синоптик,0
индустрия,промышленность,1
индустрия,технология,0
